ichiro_suzuki (athlete),ichiro (athlete),2,0.5,yes_coreference
elroy_hirsch,crazy_legs,1,1.0,yes_coreference
hands_of_stone,roberto_duran,1,1.0,yes_coreference
shaq,shaq_o_neal,5,1.0,yes_coreference
shaq,shaquille_oneal,1,1.0,yes_coreference
shaquille_oneal,shaq,1,1.0,yes_coreference
shaquille_oneal,shaq_o_neal,1,1.0,yes_coreference
tebow,tim_tebow,4,1.0,yes_coreference
ac_milan,benfica,3,0.333,no_coreference
bc_lions,edmonton_eskimos,2,0.5,no_coreference
benfica,ac_milan,3,0.333,no_coreference
chicago_cubs,cubbies,3,1.0,yes_coreference
jacksonville_jaguars,jags,5,0.6,yes_coreference
red_sox,olde_towne_team,1,1.0,yes_coreference
sun_devils,ucla,5,0.4,no_coreference
tarheels,unc_tarheels,1,1.0,yes_coreference
minnesota_vikings,falcons,14,0.5,no_coreference
rams,titans,12,0.667,no_coreference
dallas_cowboys,seahawks,14,0.5,no_coreference
pittsburgh_penguins,ottawa_senators,15,0.467,no_coreference
pirates,chicago_cubs,13,0.385,no_coreference
rams,seahawks,13,0.538,no_coreference
chicago_bears_in_super_bowl_xli,seahawks,1,1.0,no_coreference
dallas_mavericks,miami_hurricanes,15,0.467,no_coreference
seahawks,chicago_bears_in_super_bowl_xli,1,1.0,no_coreference
beijing,peking,1,1.0,yes_coreference
benares,varanasi,1,1.0,yes_coreference
bombay,mumbai,6,0.333,yes_coreference
brooklyn,prospect,1,1.0,no_coreference
calcutta,kolkata,3,0.667,yes_coreference
canton,guangzhou,4,0.25,yes_coreference
danzig,gdansk,1,1.0,yes_coreference
dc,guyana,19,0.105,no_coreference
dc,howard,1,1.0,no_coreference
essaouira,mogador,1,1.0,yes_coreference
gdansk,danzig,1,1.0,yes_coreference
guangzhou,canton,4,0.25,yes_coreference
hong_kong_island,canton,8,0.125,no_coreference
ho_chi_minh_city,saigon,4,0.5,yes_coreference
jalandhar,jullundur,1,1.0,yes_coreference
kamloops,british_columbia,1,1.0,no_coreference
katni,murwara,1,1.0,no_coreference
kelowna,british_columbia,1,1.0,no_coreference
los_banos,la,10,0.1,no_coreference
los_banos,lam,1,1.0,no_coreference
los_banos,l_a_,14,0.143,no_coreference
los_banos,llan,1,1.0,no_coreference
mumbai,bombay,6,0.333,yes_coreference
new_york,hudson,10,0.1,no_coreference
northwest_washington,guyana,1,1.0,no_coreference
northwest_washington,howard,1,1.0,no_coreference
omaha,creighton,2,0.5,no_coreference
orense,ourense,1,1.0,yes_coreference
philadelphia,philly,6, 1,yes_coreference
rio,rio_grande,4,0.5,no_coreference
santiago,campo_grande,3,0.333,no_coreference
santiago,rio_grande,3,0.333,no_coreference
saskatchewan,british_columbia,1,1.0,no_coreference
sonepat,sonipat,1,1.0,yes_coreference
thana,thane,1,1.0,yes_coreference
vancouver,british_columbia,1,1.0,no_coreference
saigon,ho_chi_minh_city,4,0.5,yes_coreference
coquitlam,british_columbia,1,1.0,no_coreference
hanoi,saigon,5,0.2,no_coreference
istanbul,constantinople,2,1.0,yes_coreference
louisiana,mississippi,45,0.089,no_coreference
nanaimo,british_columbia,1,1.0,no_coreference
new_westminster,british_columbia,1,1.0,no_coreference
prince_george,british_columbia,1,1.0,no_coreference
bombay,kolkata,2,0.5,no_coreference
mumbai,kolkata,5,0.4,no_coreference
burnaby,british_columbia,1,1.0,no_coreference
abbotsford,british_columbia,1,1.0,no_coreference
madras,chennai,2,0.5,yes_coreference
constantinople,istanbul,2,1.0,yes_coreference
victoria,british_columbia,1,1.0,no_coreference
chilliwack,british_columbia,1,1.0,no_coreference
kochi,cochin,2,1.0,yes_coreference
moncton,new_brunswick,2,0.5,no_coreference
st_louis,mississippi,8,0.125,no_coreference
kozhikode,calicut,1,1.0,yes_coreference
cochin,kochi,2,1.0,yes_coreference
memphis,mississippi,7,0.143,no_coreference
surrey,british_columbia,1,1.0,no_coreference
kolkata,calcutta,3,0.667,yes_coreference
jullundur,jalandhar,1,1.0,yes_coreference
cheektowaga,new_york,2,0.5,no_coreference
manhattan,hudson,1,1.0,no_coreference
antakya,hatay,1,1.0,no_coreference
baharampur,berhampore,1,1.0,yes_coreference
baroda,vadodara,1,1.0,yes_coreference
howrah,haora,1,1.0,yes_coreference
akyab,sittwe,1,1.0,yes_coreference
mawlamyine,moulmein,1,1.0,yes_coreference
pyay,prome,1,1.0,yes_coreference
